Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Salesforce DevOps - Senior Technical Architect,Salesforce,"Bengaluru, India",2026-09-12,https://www.linkedin.com/jobs/view/4462834476/,https://www.salesforce.com,2.0,"Exp: 15-17 Years | Skills: Environment management, Salesforce Release Deployment Strategies, Code quality tools, Version control best practices, Salesforce Development Lifecycle, DevOps tools and technologies, Salesforce product suite,Version Control Systems, Performance Monitoring, Test automation, Docker, Software configuration management, Release management | Function: Customer Success",Foundit
IN_Sr Associate__Devops Engineer_Emerging Business_Advisory_Bangalore,PwC,Bengaluru,2026-09-12,https://pwc.wd3.myworkdayjobs.com/Global_Experienced_Careers/job/Bengaluru-Millenia/IN-Sr-Associate--Generative-AI-Engineer-Emerging-Businesses-Advisory-Bangalore_754119WD,https://www.pwc.com,3.0,"Skills: GitHub Actions, Azure services, Application Insights, Azure Monitor, Log Analytics, Azure networking, Compute,Kubernetes, Databases, Groovy, Grafana, Shell, PowerShell, Linux, Prometheus, Storage, Python, Terraform, Scripting, Azure DevOps | Industry: Banking/Accounting/Financial Services | Function: Advisory",Foundit
DevOps Lead (Salesforce & Copado),AVEVA,"Bengaluru, India",2026-09-11,https://www.linkedin.com/jobs/view/4464527218/,https://www.aveva.com,0.0,"Exp: 8-10 Years | Skills: Salesforce, quality engineering, Copado,Devops, Release Management | Function: Software Development",Foundit
Senior DevOps Engineer,Thermo Fisher Scientific,Bengaluru,2026-09-12,https://jobs.thermofisher.com/global/en/job/R-01361620/Senior-DevOps-Engineer,https://www.thermofisher.com,2.0,"Skills: vulnerability remediation, secrets scanning, code scanning, artifact management, deprecation activities, dependency scanning, c++/qt, container scanning, rancher,Automated Testing, linux, Github, Patch Management, Git, Cmake, Gitlab, Docker, python, Kubernetes, Release Engineering, powershell, agile | Industry: Bio Technology & Life Sciences",Foundit
DevOps Engineer,Recro,"Bengaluru, India",2026-09-12,https://www.linkedin.com/jobs/view/4464517968/,https://www.recro.com,14.0,"Exp: 3-5 Years | Skills: Infrastructure as Code, CI CD pipelines,Gcp, Docker, Azure, Kubernetes, AWS | Function: Devops",Foundit
"WoW - DevOps Engineer, AVP",NatWest Group,"Bengaluru, India",2026-09-11,https://www.linkedin.com/jobs/view/4464905067/,https://www.natwestgroup.com,8.0,"Skills: Monitoring, Governance, observability,DevSecOps, Docker, Terraform, Shell scripting, Networking, Kubernetes, Python, AWS | Function: Devops",Foundit
"DevOps Engineer, AVP",NatWest Group,"Bengaluru, India",2026-09-11,https://www.linkedin.com/jobs/view/4464348845/,https://www.natwestgroup.com,3.0,"Skills: deployment and configuration tooling, AWS Fault Injection Simulator, k6, source code management,Jmeter, Scripting, AWS | Function: Devops",Foundit
Senior DevOps Engineer,McAfee,"Bengaluru, India",2026-09-12,https://www.linkedin.com/jobs/view/4464593023/,https://www.mcafee.com,6.0,"Exp: 5-8 Years | Skills: Karpenter, GKE, multi-cloud environments, Amazon EKS, Istio, Harness, GitHub Actions, Cilium, Pod Identity, service meshes, rbac, API gateways, Envoy, backstage , IRSA,Kafka, DevSecOps, Terraform, Autoscaling, Kubernetes, Python, AWS | Function: Devops",Foundit
DevOps Engineer,Mphasis,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/L-mx_ovboLLMSRIkFMRnROwypX4tWNl4mVp_-Bk4mXimtOXMPuI6qk78zii8dx-J8nGkmFBosg0uxfIMsW29jA==,https://www.mphasis.com,15.0,"Exp: 10-12 Years | Skills: .NET and Java applications, Regulated environments experience, ArgoCD, GIT lab, Java BE, CI CD, K8,Devops, Windows, Helm, Release Engineering | Function: Devops",Foundit
HCL AppScan Product _Sr. DevOps Engineer (Tech Support) _Bangalore,Hcl Comnet,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/ICxbVHzd7R0eTnAiTJyUxUmUYM2ogLNSXfBMHYxVi8grpzA7sO6m2wcBn9kEW-NdVut49pmJOrBUW-ulURV_8g==,N/A,33.0,"Exp: 5-8 Years | Skills: GitHub Actions, CMD, AI-assisted coding tools, TLS certificates, GitLab CI,Dns, Windows, Docker, Terraform, Tcp/ip, AWS, Azure DevOps, PowerShell, Routing, Bash, SSL, Mssql, UNIX, Sql, Jenkins, Gcp, DB2, Linux, Firewalls, Azure, Kubernetes | Function: Software Development / DevOps / Cloud Engineering",Foundit
azure devops engineer,Tata Consultancy Services,"Bengaluru, India",2026-09-10,https://www.foundit.in/job/azure-devops-engineer-tata-consultancy-services-bengaluru-bangalore-66333335,https://www.tcs.com,31.0,"Exp: 5-8 Years | Skills: Key Vault, Log Analytics, Bicep, Azure Monitor, CI CD pipeline development and automation, Kubernetes administration,ARM Templates, PowerShell, Bash, Storage, Terraform, Docker, App Services, Python, Azure DevOps | Function: Cloud Platform Engineering",Foundit
Azure Devops with Databricks and Datafactory,Itc Infotech India,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/NVmKnPrfLP9k-JGtmo7vSpyEbabVuihl6Wj3EgVkuiKq4cZz1Q0GqwASj2eDieLEbTV-Z47WWxMbfC8jgktzqQ==,https://www.itcinfotech.com,21.0,"Skills: Azure Repos, CI/CD pipelines, Azure Databricks (ADB), Azure Monitor, Application Insights, Log Analytics, Azure Data Factory (ADF), YAML Pipelines,Git, Terraform, Azure DevOps | Function: Cloud Engineering / DevOps",Foundit
Cloud DevOps Architect,Capgemini,"Bengaluru, India",2026-09-11,https://www.capgemini.com/in-en/jobs/519192-en_GB_SAPBTP/Cloud%20DevOps%20Architect,https://www.capgemini.com,25.0,"Skills: Helm charts,Containers, Cloud security, AWS, Network security, Kubernetes, Python, Azure, Docker, Gcp, Git, Linux | Function: DevOps",Foundit
AWS Devops with github,Tata Consultancy Services,"Bengaluru, India",2026-09-10,https://www.foundit.in/job/aws-devops-with-github-tata-consultancy-services-bengaluru-bangalore-66328899,https://www.tcs.com,11.0,"Exp: 12-14 Years | Skills: CodeBuild, EKS, GitHub Actions, CodePipeline, CodeQL,Github, Cloudformation, CDK, Datadog, Devops, Jenkins, Cloudwatch, Terraform, Teamcity, Splunk, Kubernetes, AWS | Function: Technology",Foundit
Cloud Infrastructure & DevOps Engineer,Datamatics Global Service,"Bengaluru, India",2026-09-12,https://www.linkedin.com/jobs/view/4463055038/,https://www.datamatics.com,9.0,"Exp: 3-10 Years | Skills: GitHub Enterprise Server GHES, CI CD pipelines, Monitoring logging and alerting solutions, IAM RBAC Policy Management, Secrets Management, Azure networking,Terraform, PowerShell, Bash, Microsoft Azure, Python",Foundit
Application Packaging with DevOps Engineer,Itc Infotech India,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/9kHdTjJKgtUGLOOH_gyzNFjWNWlTLI-PbMJfaTLIHGybNw6SuOdgvxuMMFBFp1pd5o6CN9XjcMTztUqvgScbrA==,https://www.itcinfotech.com,11.0,"Exp: 5-10 Years | Skills: NuGet,Jfrog Artifactory, Cicd, PowerShell | Function: Devops",Foundit
GCP DevOps Engineer,Tata Consultancy Services,"Bengaluru, India",2026-09-10,https://www.foundit.in/job/gcp-devops-engineer-tata-consultancy-services-bengaluru-bangalore-66332012,https://www.tcs.com,14.0,"Exp: 5-7 Years | Skills: Sonar Cube,Java, Jenkins, Github, Gcp, Docker, Terraform, Helm, Kubernetes, Python | Function: Devops",Foundit
AEM Devops Engineer,Deloitte,"Bengaluru, India",2026-09-10,https://www.foundit.in/job/aem-devops-engineer-deloitte-bengaluru-bangalore-66331322,https://www.deloitte.com,10.0,"Exp: 7-9 Years | Skills: Infrastructure optimization, AEM Cloud Service implementations, Business continuity, AEM migration programs, Cloud Manager-based deployment models, Adobe Cloud Manager, Disaster Recovery Planning, Release governance, Capacity Planning, AEM Sites, Deployment pipelines,Agile Scrum, Devops | Function: DevOps / Platform Engineering",Foundit
Java Developer with DevOps,luxoft india,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/J6OnRi10v1OuDU-bl-d4QFLZ7FcgMNh9oZTLkeF61zLKHF3LvWUzWtdlyr7P5DGMcBe0haELNZQGeyKp09x79Q==,https://www.luxoft.com,1.0,"Exp: 7-9 Years | Skills: certificate management , Server connectivity and management, Pipeline creation, Deployment processes, CPU allocation, CI/CD processes, System resource management, containerization , low latency, Infrastructure DevOps, Podman, Single Sign-On (SSO), Collections,Spring Boot, Multithreading, Google Cloud, Microservices, Concurrency, Java Development, Azure, Kubernetes, AWS | Function: Software Development / DevOps",Foundit
Engineer III - Product Engineering - DevOps,Withum,"Bengaluru, India",2026-09-09,https://www.linkedin.com/jobs/view/4464333121/,https://www.withum.com,1.0,"Exp: 7-10 Years | Skills: Entra ID, Event Hub, Git strategies, Managed Identity, Log Analytics, GitHub Actions, Bicep, Application Insights, Azure App Services, Ai, Data, Power Platform ALM, ML deployment lifecycle, rbac, Service Bus, CI/CD, Fabric,Api Management, Adf, Microservices, Terraform, Docker, Azure DevOps, Arm, Kubernetes | Function: DevOps / Cloud Engineering",Foundit
"Staff Engineer, DevOps",Tekion,"Bengaluru, India",2026-09-11,https://jobs.ashbyhq.com/tekion/ab5aacd9-c057-42f3-b78d-1ffea19b3178,https://www.tekion.com,2.0,"Exp: 8-13 Years | Skills: service mesh, microservices infrastructure, infrastructure automation, system observability, platform engineering,Incident Response, Devops, Logging | Function: Automotive",Foundit
Devops Support Engineer,devloit,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/xNcYBTPnontnie3-9isQKY8a9zX5dL74QAfib3BmlWgz3Sny0gqwPaSQJb2VfQNr9gyl60ASv4Iu6eWrvuCFYQ==,https://www.devloit.com,24.0,"Exp: 2-4 Years | Skills: Salesforce, DevOps methodologies, branching strategy, error logs, SaaS environments, Copado, Integrated Technologies, Customer Support, hosted version control,Cli, Java, Apis, Node.js, Sql, React, Xml, Python | Function: Technical Support",Foundit
DevOps Engineer,dataceria,"Bengaluru, India",2026-09-10,https://click.appcast.io/t/YM6FmhyG92y5YT26VanW_aTtHiy698OoO8AXfl_qqifLRTfdvrb9B_6U0v2AmNU6PgVatrunlfZa5mEQOuw98Q==,N/A,12.0,"Exp: 5-7 Years | Skills: snowflake , Azure DevOps), Azure Blob Storage, CI/CD Tools (GitHub, Azure SQL Server, Azure Static Web Apps,Azure Cosmos DB, Azure Cloud, Apis, Apache Kafka | Function: Production Support / DevOps / Site Reliability Engineering",Foundit
Senior Engineer- Azure DevOps,Thales Group,Bengaluru,2026-09-10,https://thales.wd3.myworkdayjobs.com/en-US/Careers/job/Bangalore/Senior-Engineer--Azure-DevOps_R0339546-2,https://www.thalesgroup.com,11.0,"Exp: 5-7 Years | Skills: GitHub Actions, Infrastructure-as-Code,Github, Devops, Terraform, Docker, Azure, Linux Administration, Python | Industry: Aerospace/ Aviation | Function: Technology",Foundit
DevOps Manager,tarento group,"Bengaluru, India",2026-09-09,https://www.linkedin.com/jobs/view/4462969067/,https://www.tarento.com,1.0,"Exp: 10-12 Years | Skills: GitHub Actions, Observability, Monitoring,Networking, Vulnerability Management, Backup, Cybersecurity, Windows, Automation, Jenkins, Iso 27001, Gcp, Docker, Terraform, Linux, Ansible, Iam, Gitlab, Microsoft Azure, Kubernetes, Azure DevOps, AWS | Function: Technology Consulting",Foundit
