Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Telecaller & Lead Generation Executive,jnana inventive private limited,"Chennai, India",2026-07-21,https://www.linkedin.com/jobs/view/4280010157/,https://www.jnanain.com,20 Applicants,"Experience: {'years': 0}-{'years': 0} Years | Key Skills: CRM Tools, Email, SAAS products, Powerpoint | Industry: Other | Function: Technology",Foundit
Lead Generation Executive,Next Code Placement,"Vastrapur, Ahmedabad",2026-09-12,https://apna.co/job/ahmedabad/lead-generation-executive-513902680,https://www.nextcodeplacement.org,Actively Hiring,"Company: Next Code Placement | Location: Vastrapur, Ahmedabad | Salary: ₹12,000 - ₹20,000 | Tags: Work from Office, Full Time, Night Shift, Any experience, Good (Intermediate / Advanced) English",Apna
Lead Generation Executive,Mastermind Money Solutions Private Limited,"Borivali West, Mumbai Metropolitan Region",2026-09-12,https://apna.co/job/mumbai-metropolitan-region/lead-generation-executive-243844086,https://mastermind.com,Actively Hiring,"Company: Mastermind Money Solutions Private Limited | Location: Borivali West, Mumbai Metropolitan Region | Salary: ₹20,000 - ₹25,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Lead Generation Executive,KM Electronic Cables,"Usmanpura, Ahmedabad",2026-09-12,https://apna.co/job/ahmedabad/lead-generation-executive-46126412,https://www.kmelectroniccables.com,Actively Hiring,"Company: KM Electronic Cables | Location: Usmanpura, Ahmedabad | Salary: ₹15,000 - ₹25,000 | Tags: Work from Office, Full Time, Min. 6 months, Basic English",Apna
Lead Generation Executive,Erfolg,"Jogeshwari East, Mumbai/Bombay",2026-09-12,https://apna.co/job/mumbai-bombay/lead-generation-executive-561215393,https://www.erfolg.com,Actively Hiring,"Company: Erfolg | Location: Jogeshwari East, Mumbai/Bombay | Salary: ₹15,000 - ₹25,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Lead Generation Executive,Genesis Homes,Kotur,2026-09-12,https://apna.co/job/kotur/lead-generation-executive-840691301,https://www.genesishomes.com,Actively Hiring,"Company: Genesis Homes | Location: Kotur | Salary: ₹15,000 - ₹20,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Lead Generation Executive,Amrut The Fashion Icon,"Athwa, Surat Region",2026-09-12,https://apna.co/job/surat-region/lead-generation-executive-413314780,https://amrut.co,Actively Hiring,"Company: Amrut The Fashion Icon | Location: Athwa, Surat Region | Salary: ₹15,000 - ₹20,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Lead Generation Executive,Evasuite Business Services (OPC) Private Limited,"HSR Layout, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/lead-generation-executive-596484501,https://evasuitehq.com,Actively Hiring,"Company: Evasuite Business Services (OPC) Private Limited | Location: HSR Layout, Bengaluru/Bangalore | Salary: ₹16,000 - ₹20,000 | Tags: Work from Office, Full Time, Night Shift, Freshers only, Good (Intermediate / Advanced) English",Apna
Lead Generation Executive,Velox Telecommunications and Marketing LLP,"Thane West, Mumbai Metropolitan Region",2026-09-12,https://apna.co/job/mumbai-metropolitan-region/lead-generation-executive-735840056,https://veloxmarketing.com,Actively Hiring,"Company: Velox Telecommunications and Marketing LLP | Location: Thane West, Mumbai Metropolitan Region | Salary: ₹15,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Lead Generation Executive,Salasar Inc.,"Dwarka, New Delhi",2026-09-12,https://apna.co/job/new-delhi/lead-generation-executive-522785819,https://www.salasar.tech,Actively Hiring,"Company: Salasar Inc. | Location: Dwarka, New Delhi | Salary: ₹20,000 - ₹30,000 | Tags: Work from Office, Full Time, Min. 1 year, Good (Intermediate / Advanced) English",Apna
