Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Technical Sales Development Representative,Kinetic Innovative Staffing Pty Ltd,Remote,2026-09-10,https://www.foundit.in/job/technical-sales-development-representative-kinetic-innovative-staffing-pty-ltd-remote-66400774,N/A,13.0,"Experience: 3-7 Years | Salary: 7,20,000-9,60,000 PHP | Key Skills: technical sales presentations,Technical Sales, Cybersecurity | Industry: Cyber Security | Function: Others",Foundit
Sr. Sales Development Representative,MoEngage,Bengaluru,2025-07-11,https://www.foundit.in/job/sr-sales-development-representative-moengage-bengaluru-bangalore-35474163,https://www.moengage.com,38.0,"Experience: 10-15 Years | Salary: 15,50,000-20,00,000 INR | Key Skills: CRM Tools, Communication Skills, Saas Sales, B2B Services, Adaptability, relationship enhancement | Industry: Information Technology | Function: Sales/Business Development",Foundit
Sales Development Representative,CrowdStrike,Bengaluru,2025-05-22,https://www.foundit.in/job/sales-development-representative-crowdstrike-bengaluru-bangalore-34950617,https://www.crowdstrike.com,173.0,"Experience: 3-8 Years | Salary: 3,00,000-8,00,000 INR | Key Skills: Git, Javascript, Apis, Node.js, Sql, AWS | Industry: Cyber Security | Function: Others",Foundit
Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/ebizon-sales-development-representative-noida-1827850866,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Development Representative,Salesforce.com India Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1480643819,https://www.salesforce.com,,"Company: Salesforce.com India Pvt Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Any experience",Apna
Sales Development Representative,NielsenIQ,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-1249905115,https://www.nielseniq.com,,"Company: NielsenIQ | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Representative,Testzeus,"HSR Layout, Bengaluru/Bangalore Region",2026-09-12,https://apna.co/job/bengaluru-bangalore-region/business-development-representative-488559474,https://www.testzeus.com,,"Company: Testzeus | Location: HSR Layout, Bengaluru/Bangalore Region | Salary: ₹60,000 - ₹67,000 | Tags: Work from Office, Full Time, Min. 2 years, Good (Intermediate / Advanced) English",Apna
Business Development Representative,Kadwin Technologies,All areas in Jaipur,2026-09-12,https://apna.co/job/jaipur/business-development-representative-298735969,https://www.kadwin.com,,"Company: Kadwin Technologies | Location: All areas in Jaipur | Salary: ₹15,000 - ₹30,000 | Tags: Field Job, Full Time, Night Shift, Any experience, Basic English",Apna
Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/ebizon-ii-sales-associate-1005816483,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Any experience",Apna
Business Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/ebizon-business-development-representative-noida-1198486161,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Representative,New Relic One India Pvt. Ltd.,Hyderabad,2026-09-12,https://apna.co/job/hyderabad/business-development-representative-1999904428,https://www.newrelic.com,,"Company: New Relic One India Pvt. Ltd. | Location: Hyderabad | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Senior Sales Development Representative - Life Sciences,Thermo Fisher Scientific India Pvt Ltd,New Delhi,2026-09-12,https://apna.co/job/new-delhi/head-enterprise-services-1691422906,https://www.thermofisher.com,,"Company: Thermo Fisher Scientific India Pvt Ltd | Location: New Delhi | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 8 years",Apna
Business Development Representative,Arbor Academy,"Baner, Pune Region",2026-09-12,https://apna.co/job/pune-region/business-development-representative-976736129,https://www.arboracademy.com,,"Company: Arbor Academy | Location: Baner, Pune Region | Salary: ₹15,000 - ₹30,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Senior Business Development Representative,MindTickle Interactive Media Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/senior-business-development-representative-1952876941,https://www.mindtickle.com,,"Company: MindTickle Interactive Media Pvt Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 5 years",Apna
Enterprise Sales Development Representative,Snowflake Computing India Llp,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1185472816,https://www.snowflake.com,,"Company: Snowflake Computing India Llp | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Sales Development Representative,NielsenIQ,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1287551493,https://www.nielseniq.com,,"Company: NielsenIQ | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Capture Practitioner - Global Capability Center (GCC),Accenture India Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/india-gcc-sales-capture-practitioner-1602657156,https://www.accenture.com,,"Company: Accenture India Private Limited | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 6 years",Apna
Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/fresher-sales-development-representative-1975033026,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Any experience",Apna
Sales Development Representative,ByteDance,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-byteplus-1571055530,https://www.bytedance.com,,"Company: ByteDance | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Sales Development Representative - Outbound Sales,Snowflake Computing India Llp,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-outbound-1579078990,https://www.snowflake.com,,"Company: Snowflake Computing India Llp | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Sales Development Representative - IT Sales,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/sales-development-representative-it-sales-1418459255,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,M/S Parikshit Erector,"Sector 24, Delhi-NCR",2026-09-12,https://apna.co/job/delhi-ncr/business-development-associate-320226341,https://www.parikshiterector.com,,"Company: M/S Parikshit Erector | Location: Sector 24, Delhi-NCR | Salary: ₹15,000 - ₹25,000 | Tags: Work from Office, Full Time, Min. 1 year, Basic English",Apna
Business Development Associate,Info Spark,Work from Home,2026-09-12,https://apna.co/job/pune-region/business-development-associate-963380729,https://www.infospark.in,,"Company: Info Spark | Location: Work from Home | Salary: ₹5,000 - ₹8,000 | Tags: Part Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Associate,Phonepe,Mohali,2026-09-12,https://apna.co/job/mohali/business-development-associate-905237347,https://www.phonepe.com,,"Company: Phonepe | Location: Mohali | Salary: ₹18,000 - ₹21,000 | Tags: Field Job, Full Time, Any experience, Basic English",Apna
Sales Development Representative,Atlassian India Llp,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1023478651,https://www.atlassian.com,,"Company: Atlassian India Llp | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Business Development Associate,Axis Bank Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-associate-543081011,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Bengaluru/Bangalore | Salary: ₹15,500 - ₹19,000 | Tags: Work from Office, Full Time, Freshers only, No English Required",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/sales-development-representative-1782771491,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Leverage Edu,Noida,2026-09-12,https://apna.co/job/noida/business-development-associate-132061432,https://www.leverageedu.com,,"Company: Leverage Edu | Location: Noida | Salary: ₹20,000 - ₹40,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Sales Development Specialist - Bioprocessing Industry,Thermo Fisher Scientific India Pvt Ltd,Pune,2026-09-12,https://apna.co/job/pune/sales-development-specialist-1246398771,https://www.thermofisher.com,,"Company: Thermo Fisher Scientific India Pvt Ltd | Location: Pune | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Business Development Associate,Leverage Ed-Tech Private Limited,Noida,2026-09-12,https://apna.co/job/noida/business-development-associate-918982928,https://www.leverageed.com,,"Company: Leverage Ed-Tech Private Limited | Location: Noida | Salary: ₹29,000 - ₹33,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Mumbai/Bombay,2026-09-12,https://apna.co/job/mumbai/sales-development-representative-mumbai-1654090522,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Mumbai/Bombay | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Quirksmith Lifestyle,"Kaikondrahalli, Bengaluru/Bangalore",2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-associate-760818462,N/A,,"Company: Quirksmith Lifestyle | Location: Kaikondrahalli, Bengaluru/Bangalore | Salary: ₹18,000 - ₹20,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-1304742204,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Leverage Edu,"Sector 126, Noida",2026-09-12,https://apna.co/job/noida/business-development-associate-836390352,https://www.leverageedu.com,,"Company: Leverage Edu | Location: Sector 126, Noida | Salary: ₹25,000 - ₹40,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Sales Development Representative Analyst,Accenture India Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-rep-analyst-1047225195,https://www.accenture.com,,"Company: Accenture India Private Limited | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Business Development Associate,Axis Bank Pvt Ltd,"Hadapsar, Pune",2026-09-12,https://apna.co/job/pune/business-development-associate-606657865,https://www.axisbank.com,,"Company: Axis Bank Pvt Ltd | Location: Hadapsar, Pune | Salary: ₹16,000 - ₹19,000 | Tags: Field Job, Full Time, Freshers only, Basic English",Apna
International Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/sales-development-representative-international-sal-1620153422,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Business Development Associate,Uprooting Talent Private Limited,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru-bangalore/business-development-associate-948403804,N/A,,"Company: Uprooting Talent Private Limited | Location: Bengaluru/Bangalore | Salary: ₹33,333 - ₹41,667 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Representative,Salesforce.com India Pvt Ltd,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/business-development-representative-1161251514,https://www.salesforce.com,,"Company: Salesforce.com India Pvt Ltd | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 3 years",Apna
Business Development Associate,Leverage Edu,Noida,2026-09-12,https://apna.co/job/noida/business-development-associate-449868399,https://www.leverageedu.com,,"Company: Leverage Edu | Location: Noida | Salary: ₹29,000 - ₹33,000 | Tags: Work from Office, Full Time, Any experience, Good (Intermediate / Advanced) English",Apna
Business Development Associate,Urban Company,"Vikhroli East, Mumbai/Bombay",2026-09-12,https://apna.co/job/mumbai-bombay/business-development-associate-782348294,https://www.urbancompany.com,,"Company: Urban Company | Location: Vikhroli East, Mumbai/Bombay | Salary: ₹25,000 - ₹28,000 | Tags: Work from Office, Full Time, Any experience, Basic English",Apna
