Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Technical Sales Development Representative,Kinetic Innovative Staffing Pty Ltd,Remote,2026-09-10,https://www.foundit.in/job/technical-sales-development-representative-kinetic-innovative-staffing-pty-ltd-remote-66400774,N/A,17.0,"Experience: 3-7 Years | Salary: 7,20,000-9,60,000 PHP | Key Skills: technical sales presentations,Technical Sales, Cybersecurity | Industry: Cyber Security | Function: Others",Foundit
Sr. Sales Development Representative,MoEngage,Bengaluru,2025-07-11,https://www.foundit.in/job/sr-sales-development-representative-moengage-bengaluru-bangalore-35474163,https://www.moengage.com,38.0,"Experience: 10-15 Years | Salary: 15,50,000-20,00,000 INR | Key Skills: CRM Tools, Communication Skills, Saas Sales, B2B Services, Adaptability, relationship enhancement | Industry: Information Technology | Function: Sales/Business Development",Foundit
Sales Development Representative,CrowdStrike,Bengaluru,2025-05-22,https://www.foundit.in/job/sales-development-representative-crowdstrike-bengaluru-bangalore-34950617,https://www.crowdstrike.com,173.0,"Experience: 3-8 Years | Salary: 3,00,000-8,00,000 INR | Key Skills: Git, Javascript, Apis, Node.js, Sql, AWS | Industry: Cyber Security | Function: Others",Foundit
Sales Development Representative,NielsenIQ,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-1249905115,https://www.nielseniq.com,,"Company: NielsenIQ | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Development Representative,Atlassian India Llp,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1023478651,https://www.atlassian.com,,"Company: Atlassian India Llp | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/fresher-sales-development-representative-1975033026,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Any experience",Apna
Sales Development Representative,EBIZON NETINFO PRIVATE LIMITED,Noida,2026-09-12,https://apna.co/job/noida/ebizon-sales-development-representative-noida-1827850866,https://www.ebizontek.com,,"Company: EBIZON NETINFO PRIVATE LIMITED | Location: Noida | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Development Representative - Outbound Sales,Snowflake Computing India Llp,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-outbound-1579078990,https://www.snowflake.com,,"Company: Snowflake Computing India Llp | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 2 years",Apna
Sales Development Representative,NielsenIQ,Bengaluru/Bangalore,2026-09-12,https://apna.co/job/bengaluru/sales-development-representative-1287551493,https://www.nielseniq.com,,"Company: NielsenIQ | Location: Bengaluru/Bangalore | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
Sales Development Representative,Linkedin Technology Information Pvt Ltd,Gurgaon/Gurugram,2026-09-12,https://apna.co/job/gurgaon/sales-development-representative-1304742204,https://www.linkedin.com,,"Company: Linkedin Technology Information Pvt Ltd | Location: Gurgaon/Gurugram | Salary: Not disclosed | Tags: Work from Office, Full Time, Min. 1 year",Apna
