Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
"Junior Data Analyst, Derby",Miniclip,"Derby, England",30d+,"https://www.glassdoor.co.uk/job-listing/junior-data-analyst-derby-miniclip-JV_IC2662625_KO0,25_KE26,34.htm?jl=1010103008128",N/A,N/A,"Analysing player and product data to support product decisions. You’ll support product teams with data-driven insights while continuing to grow your analytical…&hellip;

Skills: R, SQL, Analysis skills, Data analytics, Data visualisation",Glassdoor
Data Analyst,Omnia Resourcing,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/data-analyst-omnia-resourcing-JV_IC2671300_KO0,12_KE13,29.htm?jl=1009899585857",N/A,N/A,"Work closely with different teams to improve data-driven processes. Ensure accuracy and integrity of data collection and reporting.&hellip;

Skills: Business intelligence, Analysis skills, Data management, Data analytics, Pivot tables",Glassdoor
Junior Data Analyst,Qualient Solutions,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/junior-data-analyst-qualient-solutions-JV_IC2671300_KO0,19_KE20,38.htm?jl=1008662367909",N/A,N/A,"Knowledge of digital analytics solutions (ie Adobe Analytics or Google Analytics) and other traditional analytics solutions.&hellip;

Skills: Data analytics, Google Analytics, Adobe Analytics",Glassdoor
Data Analyst (Impact focus),Young Lives vs Cancer,Remote,24h,"https://www.glassdoor.co.in/job-listing/data-analyst-impact-focus-young-lives-vs-cancer-JV_KO0,25_KE26,47.htm?jl=1010236226139",N/A,N/A,"Analyse and bring together data from multiple sources to understand service reach, outcomes, impact, trends and equity of access for children and young people…&hellip;

Skills: Analysis skills, Communication skills, Analytics",Glassdoor
Data Analyst,MOUNTAIN PEAK TECHNOLOGY LTD,Remote,19d,"https://www.glassdoor.co.in/job-listing/data-analyst-mountain-peak-technology-ltd-JV_KO0,12_KE13,41.htm?jl=1010219027513",N/A,N/A,"We are committed to leveraging data-driven insights to inform decision-making and drive business growth. Collaborating with cross-functional teams to understand…&hellip;

Skills: Power BI, Data modelling, Tableau, Analysis skills, Data analytics",Glassdoor
Data Analyst,ITV,"London, England",3d,"https://www.glassdoor.co.uk/job-listing/data-analyst-itv-JV_IC2671300_KO0,12_KE13,16.htm?jl=1010233584320",N/A,N/A,"Support: respond to inbound support queries around data products, requests and issues, offering data analytics expertise and explanations, as well as potential…&hellip;

Skills: SQL, Analysis skills, Quality assurance, Presentation skills, Product development",Glassdoor
Data & Analytics Analyst - Glasgow,City Facilities Management,"Glasgow, Scotland",14d,"https://www.glassdoor.co.uk/job-listing/data-analytics-analyst-glasgow-city-facilities-management-JV_IC3298888_KO0,30_KE31,57.htm?jl=1010224941879",N/A,N/A,"Experience of fast-paced retail environments, with an understanding of retailer needs in relation to FM and the importance of data.&hellip;

Skills: Microsoft Powerpoint, Power BI, Computer literacy, Writing skills, Cost control",Glassdoor
Data and Information Analyst,University of Lancashire,"Preston, North West England, England",2d,"https://www.glassdoor.co.uk/job-listing/data-and-information-analyst-uclan-JV_IC3527416_KO0,28_KE29,34.htm?jl=1010235780599",N/A,N/A,"Working with colleagues across the institution, you'll help create sustainable reporting solutions, expand self-service access to data, and enable stakeholders…&hellip;

Skills: Business intelligence, Databases, Data analytics, Management reporting",Glassdoor
Business Intelligence Analyst Developer x2,Oxford Brookes University,"Headington, England",7d,"https://www.glassdoor.co.uk/job-listing/business-intelligence-analyst-developer-x2-oxford-brookes-university-JV_IC3380719_KO0,42_KE43,68.htm?jl=1010230640056",N/A,N/A,"The team brings together business intelligence, reporting and data engineering expertise, with an increasing focus on improving access to data, automation and…&hellip;

Skills: Business intelligence, Relational databases, Analysis skills, Business requirements, Communication skills",Glassdoor
Data Analyst,Respect Services,"London, England",30d+,"https://www.glassdoor.co.uk/job-listing/data-analyst-respect-services-JV_IC2671300_KO0,12_KE13,29.htm?jl=1005812145551",N/A,N/A,"The role will involve data analysis of processes and data flows, modelling of new data flows, data integration and enrichment, management of complex data…&hellip;

Skills: Business intelligence, Data analytics, Communication skills",Glassdoor
Data Analyst,University of East London,United Kingdom,8d,"https://www.glassdoor.co.uk/job-listing/data-analyst-university-of-east-london-JV_KO0,12_KE13,38.htm?jl=1010229693020",N/A,N/A,"Develop and maintain reusable queries, reports and dashboards to support migration, validation and data quality activities.&hellip;

Skills: Power BI, Communication skills, Analytics",Glassdoor
Data Analyst,MONY Group,United Kingdom,30d+,"https://www.glassdoor.co.uk/job-listing/data-analyst-moneysupermarket-group-JV_KO0,12_KE13,35.htm?jl=1010205466550",N/A,N/A,"Be able to communicate complex quantitative analysis in a clear, precise, and actionable manner to senior management. A good working knowledge of SQL.&hellip;

Skills: Power BI, Google Cloud Platform, Tableau, SQL, Data analytics",Glassdoor
