Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst,Talent Sam,Worldwide / Remote,2026-08-22,https://himalayas.app/companies/talent-sam/jobs/data-analyst-4665501015,https://himalayas.app/companies/talent-sam,N/A,"Type: Full Time | Seniority: Entry-level | Categories: Business-Analysis, Reporting-Analyst, Business-Intelligence, Data-Analyst, Analytics-Analyst, Associate-Data-Analyst, Data-Analytics-Specialist, Research-Data-Analyst, Data-Intelligence-Analyst",Himalayas
Data Analyst,Ceox Services Ltd,United Kingdom,2026-06-24,https://himalayas.app/companies/ceox-services-ltd/jobs/data-analyst,https://himalayas.app/companies/ceox-services-ltd,N/A,"Type: Contractor | Seniority: Senior | Categories: Data-Analyst, Business-Intelligence-Analyst, BI-Developer, Data-Reporting, Data-Science-Analyst, Data-Analytics-Specialist",Himalayas
Data Analyst - Part Time - Worldwide,VendueTech,"Australia, Bangladesh, Brazil, Canada, China, France, Germany, India, Italy, Japan, Mexico, Netherlands, Norway, Pakistan, Philippines, South Korea, Spain, Sweden, United Kingdom, United States",2026-06-24,https://himalayas.app/companies/venduetech/jobs/data-analyst-part-time-worldwide,https://himalayas.app/companies/venduetech,N/A,"Type: Part Time | Seniority: Entry-level | Categories: Data-Analyst, Business-Intelligence-Analyst, Analytics-Engineer, Data-Visualization-Specialist, Business-Analyst, Part-Time-Data-Analyst, Remote-Data-Analyst, Entry-Level-Online-Data-Analyst, Online-Data-Analyst",Himalayas
"Data Analyst IV Healthcare Analytics, Medical Economics",Centene Corporation,"Ireland, United Kingdom, United States",2026-08-03,https://himalayas.app/companies/centene-corporation/jobs/data-analyst-iv-healthcare-analytics-medical-economics-5486304748,https://himalayas.app/companies/centene-corporation,N/A,"Type: Full Time | Seniority: Senior | Categories: Healthcare-Analytics, Data-Analyst, Medical-Economics, Business-Intelligence, Health-Informatics, Healthcare-Analytics-Analyst, Healthcare-Financial-Data-Analyst, Health-Data-Analyst, Healthcare-Data-Analytics-Lead",Himalayas
"Senior Data Analyst, Financial Health",Monzo,United Kingdom,2026-07-10,https://himalayas.app/companies/monzo/jobs/senior-data-analyst-financial-health,https://himalayas.app/companies/monzo,N/A,"Type: Full Time | Seniority: Senior | Categories: Financial-Analyst, Data-Analyst, Business-Intelligence, Product-Analytics, Data-Science, Senior-Staff-Data-Analyst, Senior-Analytics-Analyst, Senior-BI-and-Data-Analyst, Financial-Data-Analyst",Himalayas
Data Analyst,Brighty App,Worldwide / Remote,2026-08-12,https://himalayas.app/companies/brighty-app/jobs/data-analyst,https://himalayas.app/companies/brighty-app,N/A,"Type: Full Time | Seniority: Mid-level | Categories: Product-Analytics, Business-Intelligence, Fintech-Analytics, Data-Analyst, Analytics-Analyst, Data-Analytics-Specialist",Himalayas
Data Liaison (Business Analytics & Insights)- 6 Month Contract,OGC Global,Worldwide / Remote,2026-08-08,https://himalayas.app/companies/ogc-global/jobs/data-liaison-business-analytics-insights-6-month-contract,https://himalayas.app/companies/ogc-global,N/A,"Type: Contractor | Seniority: Mid-level | Categories: Business-Analytics, Data-Liaison, Commercial-Analytics, Consumer-Insights, Analytics, Data-and-Insights-Business-Analyst, Senior-BI-and-Data-Analyst, Data-Business-Analyst, Senior-BI-And-Analytics-Analyst, Business-Data-Analyst",Himalayas
Data Analyst,micro1,Worldwide / Remote,2026-08-19,https://himalayas.app/companies/micro1/jobs/data-analyst-9215136284,https://himalayas.app/companies/micro1,N/A,"Type: Contractor | Seniority: Entry-level, Mid-level | Categories: Data-Analyst, Analytics-Analyst, Data-Science-Analyst, IT-Data-Analyst, Associate-Data-Analyst, Data-Analytics-Specialist, Research-Data-Analyst, Data-Intelligence-Analyst, AI-Data-Analyst",Himalayas
Online Data Analyst - English speaker in UK,TELUS Digital,United Kingdom,2026-08-11,https://himalayas.app/companies/telus-digital/jobs/online-data-analyst-english-speaker-in-uk,https://himalayas.app/companies/telus-digital,N/A,"Type: Contractor | Seniority: Entry-level | Categories: Online-Data-Analysis, AI-Data-Annotation, Research-Analysis, Digital-Map-Quality, Content-Evaluation, Online-Data-Analyst, Data-Analyst",Himalayas
Data Business Analyst - Fixed Term Contract,Livestock Information,United Kingdom,2026-08-08,https://himalayas.app/companies/livestock-information/jobs/data-business-analyst-fixed-term-contract,https://himalayas.app/companies/livestock-information,N/A,"Type: Contractor | Seniority: Senior | Categories: Data-Business-Analysis, Business-Analysis, Power-BI-Development, Reporting-Business-Intelligence, Data-Business-Analyst, Business-Data-Analyst, Data-and-Insights-Business-Analyst, Contract-Data-Analyst, Business-Analyst",Himalayas
