Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst,Illinois Eastern Community Colleges,"Olney, IL 62450",Just posted,https://www.indeed.com/viewjob?jk=a1d8bafe8a9f9524,N/A,N/A,"Promotes data quality, consistent definitions, and effective use of institutional data.
DESCRIPTION: *The Data Analyst position supports institutional reporting…",Indeed
Data Analyst,Brillio Inc,"Rosemont, IL",30+ days ago,https://www.indeed.com/viewjob?jk=7a5191e1be2aa99f,N/A,N/A,You will partner closely with the Engagement Portfolio Leaders and Customers to deliver state of the art solutions engineered by Visualization Architects for…,Indeed
Data Analyst,VIMO INC,"Mountain View, CA",30+ days ago,https://www.indeed.com/viewjob?jk=972726ed5007321d,N/A,N/A,"Strong analytical thinking and attention to data detail.
The candidate is expected to handle all data in accordance with company security, privacy, and data…",Indeed
Data Analyst,"Altec Industries, Inc.","Birmingham, AL",Just posted,https://www.indeed.com/viewjob?jk=497c5269b3847637,N/A,N/A,"Translating data trends into action lists and business insights.
Learning business processes and helping answer operational questions through data.",Indeed
Data Analyst,Maplecrest Dataworks,"Florissant, MO 63031",Just posted,https://www.indeed.com/viewjob?jk=62b7e581746f972e,N/A,N/A,"Effective communication skills to explain complex data insights simply.
Support the development of automated reporting processes to streamline data workflows.",Indeed
Data Analyst,Allina Health System,"Minneapolis, MN 55318",Just posted,https://www.indeed.com/viewjob?jk=75acb671fa374304,N/A,N/A,"Experience with quantitative data analysis, familiarity with data collection and electronic health record tools.
1.0 FTE (80 hours per two-week pay period).",Indeed
Data Analyst,"Place Services, Inc.","Woodstock, GA",1 day ago,https://www.indeed.com/viewjob?jk=2be57c4f2d360927,N/A,N/A,"2–4 years of experience in a data analyst, reporting analyst, or similar role; experience in the construction industry strongly preferred.",Indeed
Sales Data Analyst,Computershare,"Frisco, TX",Just posted,https://www.indeed.com/viewjob?jk=6a08e3ce04e79744,N/A,N/A,"Experience presenting data, trends, and insights to stakeholders.
Ability to ensure data quality, consistency, and accuracy.",Indeed
Financial Planning and Analysis Analyst,MEC Aerial Work Platforms,"Fresno, CA 93727",30+ days ago,https://www.indeed.com/viewjob?jk=cfc9212c5db593f4,N/A,N/A,"Strong analytical and data management skills.
2 to 5 years of experience in FP&A, corporate finance, public accounting, or related finance roles.",Indeed
CFA FP&A Financial Analyst,ASC (American Screening Corp),"Shreveport, LA 71106",Just posted,https://www.indeed.com/viewjob?jk=e90666caecfff0a5,N/A,N/A,"The analyst must be willing to challenge assumptions with data.
Determine true profitability by customer, product, channel, sales representative, and business…",Indeed
