Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst,SPG Resourcing,Leeds,5 days ago,https://www.jobleads.com/gb/job/data-analyst--leeds--e4be7b0fd85c8376d548804566747fd7a,N/A,N/A,"Work Setting: On-site | Salary: GBP 34,000 - 52,000",JobLeads
Data Analyst,Global One,Greater London,14 days+,https://www.jobleads.com/gb/job/data-analyst--greater-london--e66fb97c021047c81433bf572fe8a2df7,N/A,N/A,"Work Setting: On-site | Salary: GBP 35,000 - 50,000",JobLeads
Data Analyst,Netcompany,Greater London,14 days+,https://www.jobleads.com/gb/job/data-analyst--greater-london--e0bb20cd33512354d1eba2a74e63bcd6c,N/A,N/A,"Work Setting: Hybrid | Salary: GBP 35,000 - 48,000",JobLeads
Data Analyst,Academy Education Network Ltd,Manchester,14 days+,https://www.jobleads.com/gb/job/data-analyst--manchester--e6f1a4d4c5163332e576da39fe14dbf4c,N/A,N/A,"Work Setting: On-site | Salary: GBP 32,000 - 65,000",JobLeads
Data Analyst,ivee,Greater London,14 days+,https://www.jobleads.com/gb/job/data-analyst--greater-london--e700dfed5d3d30f4158ef23fcd312abeb,N/A,N/A,"Work Setting: On-site | Salary: GBP 35,000 - 55,000",JobLeads
Data Analyst,Redcentric,"City Of London, Harrogate",14 days+,https://www.jobleads.com/gb/job/data-analyst--city-of-london--harrogate--e73f3740c88d69932f69367e0b5b0dd20,N/A,N/A,"Work Setting: On-site | Salary: GBP 35,000 - 55,000",JobLeads
Data Analyst,RDX Sports,Manchester,14 days+,https://www.jobleads.com/gb/job/data-analyst--manchester--edc10e4730d4a25798faa6eacd98c7609,N/A,N/A,"Work Setting: On-site | Salary: GBP 30,000 - 50,000",JobLeads
Data Analyst: IT & Business Insights & Dashboards,Devitechs,Birmingham,14 days+,https://www.jobleads.com/gb/job/data-analyst-it-business-insights-dashboards--birmingham--e9fddc2037aafde0165c6125e62a0d8e7,N/A,N/A,"Work Setting: On-site | Salary: GBP 30,000 - 40,000",JobLeads
Data Analyst,HireMap,Greater London,14 days+,https://www.jobleads.com/gb/job/data-analyst--greater-london--e8e7a5ec1ef34dff7331c3c4bbdbd1952,N/A,N/A,"Work Setting: On-site | Salary: GBP 30,000 - 52,000",JobLeads
Data Analyst for BDAP Enablement & Self-Service,LexisNexis Risk Solutions,England,14 days+,https://www.jobleads.com/gb/job/data-analyst-for-bdap-enablement-self-service--england--e04842769d7e1492fcd0400056aaa586e,N/A,N/A,"Work Setting: On-site | Salary: GBP 40,000 - 60,000",JobLeads
