Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst Python SQL BI - Private Equity,Client Server,"London, England, United Kingdom",22 hours ago,https://www.linkedin.com/jobs/view/4460337350,https://uk.linkedin.com/company/client-server,N/A,N/A,LinkedIn
Data Analyst,Scrumconnect Consulting,"Staines-Upon-Thames, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4458377301,https://uk.linkedin.com/company/scrumconnect,N/A,N/A,LinkedIn
Senior Data Analyst - Growth,Wise,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4439422673,https://uk.linkedin.com/company/wiseaccount,N/A,N/A,LinkedIn
Data Analyst,Octopus Legacy,"Greater London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4449151172,https://uk.linkedin.com/company/octopus-legacy-ltd,N/A,N/A,LinkedIn
Senior Data Analyst,Morson Edge (Financial Services),"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4457236594,https://uk.linkedin.com/company/morson-edge-financial-services,N/A,N/A,LinkedIn
Data Analyst,Mott MacDonald,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4459856911,https://uk.linkedin.com/company/mott-macdonald,N/A,N/A,LinkedIn
Data Analyst - Business Intelligence,Transport for London,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4457988159,https://uk.linkedin.com/company/transport-for-london,N/A,N/A,LinkedIn
Data Analyst,MONY Group plc,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4458763649,https://uk.linkedin.com/company/mony-group-plc,N/A,N/A,LinkedIn
Data Analyst,Toyota Connected Europe,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4458654977,https://uk.linkedin.com/company/toyota-connected-europe,N/A,N/A,LinkedIn
Enterprise Data Analyst,Salary Finance,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4458266209,https://uk.linkedin.com/company/salaryfinance,N/A,N/A,LinkedIn
Data Analyst - Fraud,Moniepoint Group,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4447984895,https://uk.linkedin.com/company/moniepoint-inc,N/A,N/A,LinkedIn
Advanced Analytics - Data Analyst - SQL,Datatech Analytics,"Greater London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4458620347,https://uk.linkedin.com/company/datatech-analytics,N/A,N/A,LinkedIn
"Senior Data Analyst, Wise Platform Pricing",Auth21,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4459138013,https://br.linkedin.com/company/auth21,N/A,N/A,LinkedIn
Senior Data Analyst,Gravitas Recruitment Group (Global) Ltd,"London Area, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4458022795,https://uk.linkedin.com/company/gravitas-recruitment-group-global,N/A,N/A,LinkedIn
Data Analyst,London Borough of Sutton,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4460134386,https://uk.linkedin.com/company/london-borough-of-sutton,N/A,N/A,LinkedIn
Senior Data Analyst - Wise Platform Pricing,Wise,"London, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4437953127,https://uk.linkedin.com/company/wiseaccount,N/A,N/A,LinkedIn
Data Analyst,Harcourt Matthews,"City Of London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4455846967,https://uk.linkedin.com/company/harcourt-matthews,N/A,N/A,LinkedIn
"Senior Data Analyst - Up to £80,000",Blu Digital,"London Area, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4443681901,https://uk.linkedin.com/company/blu-digital-recruitment,N/A,N/A,LinkedIn
Data Analyst,Trace | Expert Accountancy & Finance Recruitment,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4457233815,https://uk.linkedin.com/company/trace---tracing-talent-that-fits,N/A,N/A,LinkedIn
Data Analyst,CV-BRIDGE LTD,"Greater London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4458679907,https://uk.linkedin.com/company/cv-bridge-ltd,N/A,N/A,LinkedIn
Senior Data Analyst,Clarksons Research,"London Area, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4459815642,https://uk.linkedin.com/company/clarksons-research,N/A,N/A,LinkedIn
Senior Performance Analyst (x2),Greater London Authority,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4452266852,https://uk.linkedin.com/company/greater-london-authority,N/A,N/A,LinkedIn
Energy Data Analyst,PT Renewables 🌳,"Brighton, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4455854365,https://uk.linkedin.com/company/pt-renewables,N/A,N/A,LinkedIn
Commercial Analyst,Forward Role Recruitment,"London Area, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4457751367,https://uk.linkedin.com/company/forward-role-recruitment,N/A,N/A,LinkedIn
Senior Data Analyst,Harnham,"London Area, United Kingdom",18 hours ago,https://www.linkedin.com/jobs/view/4460357768,https://uk.linkedin.com/company/harnham,N/A,N/A,LinkedIn
Data Analyst / Business Intelligence Analyst,Sizewell C,"London, England, United Kingdom",23 hours ago,https://www.linkedin.com/jobs/view/4458096069,https://uk.linkedin.com/company/sizewellc,N/A,N/A,LinkedIn
Data Analyst,Centre People Appointments,"Windsor, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4451552555,https://uk.linkedin.com/company/centre-people-appointments,N/A,N/A,LinkedIn
Senior Data Analyst,Adapty.io,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4459381294,https://www.linkedin.com/company/adaptyio,N/A,N/A,LinkedIn
Data Analyst,Xcede,"Surrey, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4458950117,https://uk.linkedin.com/company/xcede,N/A,N/A,LinkedIn
Energy Data Analyst,PT Renewables 🌳,"Surrey, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4455863450,https://uk.linkedin.com/company/pt-renewables,N/A,N/A,LinkedIn
Senior/Staff Data Analyst,MoonPay,"London, England, United Kingdom",19 hours ago,https://www.linkedin.com/jobs/view/4450286640,https://www.linkedin.com/company/moonpay,N/A,N/A,LinkedIn
"Lead Data Analyst, Wise Platform Pricing",Auth21,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4459127234,https://br.linkedin.com/company/auth21,N/A,N/A,LinkedIn
Senior Data Analyst,Elsevier,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4456943238,https://nl.linkedin.com/company/elsevier,N/A,N/A,LinkedIn
Graduate Data Analyst,GRAYCE,"London Area, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4459194517,https://uk.linkedin.com/company/grayce,N/A,N/A,LinkedIn
"Ralph Lauren Data Analyst, Digital Commerce, EMEA & LATAM",BoF Careers,"London, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4456800998,https://www.linkedin.com/company/bof-careers,N/A,N/A,LinkedIn
Data Analyst III (Product),Fanatics,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4410199907,https://www.linkedin.com/company/fanatics-inc-,N/A,N/A,LinkedIn
"Senior Data Analyst, Marketing",SheMed,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4457495656,https://uk.linkedin.com/company/shemed,N/A,N/A,LinkedIn
Senior Data Analyst - Customer Insight & Performance,Daily Mail,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4458220679,https://uk.linkedin.com/company/daily-mail,N/A,N/A,LinkedIn
