Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Senior Data Analyst,Jacobs,"Glasgow, Scotland, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4456345511,https://www.linkedin.com/company/jacobs,N/A,N/A,LinkedIn
Senior Data Analyst,Jacobs,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4456347465,https://www.linkedin.com/company/jacobs,N/A,N/A,LinkedIn
Data Analyst,Hyra,"London, England, United Kingdom",4 hours ago,https://www.linkedin.com/jobs/view/4456636452,https://www.linkedin.com/company/joinhyra,N/A,N/A,LinkedIn
Data Analyst,Experis UK,"Stirling, Scotland, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4457094041,https://uk.linkedin.com/company/experis-uk,N/A,N/A,LinkedIn
Data Analyst,Landsec,"London Area, United Kingdom",19 hours ago,https://www.linkedin.com/jobs/view/4454651117,https://uk.linkedin.com/company/landsec,N/A,N/A,LinkedIn
Data Analyst,Burns Sheehan,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4455287828,https://uk.linkedin.com/company/burnssheehan,N/A,N/A,LinkedIn
Data Analyst,MANUAL,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4429793459,https://uk.linkedin.com/company/manualco,N/A,N/A,LinkedIn
BI Data Analyst,Motorway,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4453469163,https://uk.linkedin.com/company/motorway-online-ltd.,N/A,N/A,LinkedIn
Data Analyst,WeDoData,"Plymouth, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4455382374,https://uk.linkedin.com/company/wedodata1,N/A,N/A,LinkedIn
Data Analyst,Ascent People Ltd,"Salford, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4442597322,https://uk.linkedin.com/company/ascent-people-ltd,N/A,N/A,LinkedIn
Data Analyst (0448),Price Bailey,"Cambridge, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4444136600,https://uk.linkedin.com/company/price-bailey,N/A,N/A,LinkedIn
Data Analyst,Cromwell Banks,"Solihull, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4454283923,https://uk.linkedin.com/company/cromwell-banks,N/A,N/A,LinkedIn
Data Analyst,Experis UK,"Crawley, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4457084185,https://uk.linkedin.com/company/experis-uk,N/A,N/A,LinkedIn
Data Analyst,V7 Recruitment,"Stockport, England, United Kingdom",20 hours ago,https://www.linkedin.com/jobs/view/4454633910,https://uk.linkedin.com/company/v7-recruitment,N/A,N/A,LinkedIn
Senior Data Analyst,Capital One,"Nottingham, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4447007212,https://www.linkedin.com/company/capital-one,N/A,N/A,LinkedIn
Data Analyst,Proactive.IT Appointments Ltd.,"Harrow, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4455731651,https://uk.linkedin.com/company/proactive-appointments-ltd-,N/A,N/A,LinkedIn
Data Analyst,RedRock Resourcing,"Greater Bristol Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4454701712,https://uk.linkedin.com/company/redrock-resourcing,N/A,N/A,LinkedIn
Commercial Data Analyst,The Gym Group,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4454784072,https://uk.linkedin.com/company/the-gym-group,N/A,N/A,LinkedIn
Data Analyst,Goodman Masson,"London Area, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4454248627,https://uk.linkedin.com/company/goodman-masson,N/A,N/A,LinkedIn
Data Analyst,Vertu Motors plc,"Tyne And Wear, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456205580,https://uk.linkedin.com/company/vertumotors,N/A,N/A,LinkedIn
Data Analyst,Nando's UK & IRE,"London Area, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4452247095,https://uk.linkedin.com/company/nando%E2%80%99s-uk-&-ire,N/A,N/A,LinkedIn
BI Data Analyst,Find Data Science Jobs,"London, England, United Kingdom",1 hour ago,https://www.linkedin.com/jobs/view/4457813387,https://www.linkedin.com/company/find-data-science-jobs,N/A,N/A,LinkedIn
Senior Data Analyst,Imperial College Healthcare NHS Trust,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456731402,https://uk.linkedin.com/company/imperial-college-healthcare-nhs-trust,N/A,N/A,LinkedIn
"Senior Data Analyst - Up to £80,000",Blu Digital,"London Area, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4443681901,https://uk.linkedin.com/company/blu-digital-recruitment,N/A,N/A,LinkedIn
MI Analyst,Lockton,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4437816738,https://www.linkedin.com/company/lockton-companies,N/A,N/A,LinkedIn
Senior Performance Analyst (x2),Greater London Authority,"London, England, United Kingdom",20 hours ago,https://www.linkedin.com/jobs/view/4452266852,https://uk.linkedin.com/company/greater-london-authority,N/A,N/A,LinkedIn
Lead Data Analyst,YouLend,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456739665,https://uk.linkedin.com/company/youlend,N/A,N/A,LinkedIn
Junior Data Analyst,Terberg Tractors Belgium,"Elland, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4455344005,https://be.linkedin.com/company/terberg-tractors-belgium,N/A,N/A,LinkedIn
Data Analyst,PT Renewables 🌳,"Surrey, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4454108351,https://uk.linkedin.com/company/pt-renewables,N/A,N/A,LinkedIn
"Data Analyst (London, England)",B Lab,"London Area, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4456199163,https://www.linkedin.com/company/b-lab-global,N/A,N/A,LinkedIn
Data and Insight Analyst,The Green Energy Advice Bureau,"Sunderland, England, United Kingdom",55 minutes ago,https://www.linkedin.com/jobs/view/4457810450,https://uk.linkedin.com/company/the-green-energy-advice-bureau,N/A,N/A,LinkedIn
Technical Data Analyst (SQL),Clearwater Analytics,"Edinburgh, Scotland, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456709473,https://www.linkedin.com/company/clearwateranalytics,N/A,N/A,LinkedIn
Senior Data Analyst,Soho House & Co,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4429260338,https://uk.linkedin.com/company/sohohouse,N/A,N/A,LinkedIn
"Data Analyst, Product",Kraken,"London, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4444608471,https://www.linkedin.com/company/krakenfx,N/A,N/A,LinkedIn
Data Reporting Analyst,Work Force Nexus,United Kingdom,1 day ago,https://www.linkedin.com/jobs/view/4456225215,https://www.linkedin.com/company/work-force-nexus-recruitment,N/A,N/A,LinkedIn
Data Analyst - Supply,Prolific,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4446762551,https://uk.linkedin.com/company/prolific-com,N/A,N/A,LinkedIn
GTM Data Analyst,sunday,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4454762606,https://www.linkedin.com/company/sundaytech,N/A,N/A,LinkedIn
Lead Data Analyst (Research),The University of Manchester,"Manchester, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456216452,https://uk.linkedin.com/school/university-of-manchester/,N/A,N/A,LinkedIn
Data Analyst,Munich Re,"London, England, United Kingdom",17 hours ago,https://www.linkedin.com/jobs/view/4457390347,https://de.linkedin.com/company/munich-re,N/A,N/A,LinkedIn
Data Analyst,Find Data Science Jobs,"London, England, United Kingdom",13 hours ago,https://www.linkedin.com/jobs/view/4457538151,https://www.linkedin.com/company/find-data-science-jobs,N/A,N/A,LinkedIn
Reporting Analyst,Amey,"Liverpool, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4456496848,https://uk.linkedin.com/company/amey,N/A,N/A,LinkedIn
Senior Data Analyst - CRM Analytics,Wise,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4436247937,https://uk.linkedin.com/company/wiseaccount,N/A,N/A,LinkedIn
Data Analyst,Harnham,"London Area, United Kingdom",21 hours ago,https://www.linkedin.com/jobs/view/4457339959,https://uk.linkedin.com/company/harnham,N/A,N/A,LinkedIn
Energy Data Analyst,Optimised,"Bristol, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4455457527,https://uk.linkedin.com/company/optimisedgroup,N/A,N/A,LinkedIn
Data Analyst,MILE,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4455313468,https://www.linkedin.com/company/mileclub,N/A,N/A,LinkedIn
Data Analyst,AvePoint,"London Area, United Kingdom",19 hours ago,https://www.linkedin.com/jobs/view/4428403476,https://www.linkedin.com/company/avepoint,N/A,N/A,LinkedIn
Senior Data Analyst,Deel,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4453888326,https://www.linkedin.com/company/deel,N/A,N/A,LinkedIn
Reporting & Data Analyst - Transport Data,Opus Resourcing Ltd,"London Area, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456012961,https://uk.linkedin.com/company/opus-resourcing-ltd,N/A,N/A,LinkedIn
Growth Data Analyst,Muzz,"London Area, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4454430878,https://uk.linkedin.com/company/muzz,N/A,N/A,LinkedIn
Senior Ecommerce Data Analyst,The Independent,"London Area, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4457067980,https://uk.linkedin.com/company/the-independent,N/A,N/A,LinkedIn
"Data Analyst, Digital Commerce, EMEA & LATAM",Ralph Lauren,"London, England, United Kingdom",21 hours ago,https://www.linkedin.com/jobs/view/4442857164,https://www.linkedin.com/company/ralph-lauren,N/A,N/A,LinkedIn
AI eTrading Quant Data Analyst,UBS,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4456211371,https://ch.linkedin.com/company/ubs,N/A,N/A,LinkedIn
Advanced Analytics - Data Analyst - SQL - Newcastle,Datatech Analytics,"Newcastle Upon Tyne, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4454736458,https://uk.linkedin.com/company/datatech-analytics,N/A,N/A,LinkedIn
Digital Data Analyst,Greene King,"Burton Upon Trent, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4455924528,https://uk.linkedin.com/company/greeneking,N/A,N/A,LinkedIn
Data Analyst,The Celtic Collection,"Newport, Wales, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4454243290,https://uk.linkedin.com/company/the-celtic-collection,N/A,N/A,LinkedIn
Data Analyst,Performics UK,"London, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4445195719,https://uk.linkedin.com/company/performics-uk,N/A,N/A,LinkedIn
IE Business Intelligence Analyst,Royal Borough of Greenwich,"London, England, United Kingdom",4 days ago,https://www.linkedin.com/jobs/view/4454484482,https://uk.linkedin.com/company/royalgreenwich,N/A,N/A,LinkedIn
Data Analyst,TEKsystems,"Newcastle Upon Tyne, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4456499527,https://www.linkedin.com/company/teksystems,N/A,N/A,LinkedIn
Digital Performance Analyst,Opencast | B Corp™,"Newcastle Upon Tyne, England, United Kingdom",3 days ago,https://www.linkedin.com/jobs/view/4453423363,https://uk.linkedin.com/company/opencastsoftware,N/A,N/A,LinkedIn
Insight Analyst,Primark,"Reading, England, United Kingdom",21 hours ago,https://www.linkedin.com/jobs/view/4447217772,https://ie.linkedin.com/company/primark-stores-ltd,N/A,N/A,LinkedIn
