Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
Senior Devops Engineer- London,FDM Group,London,2026-07-16,https://www.reed.co.uk/jobs/senior-devops-engineer-london/57129031?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/fdm-group/p4784,Actively Hiring,"Salary: £80,000 - £95,000 per annum | Type: Permanent, full-time | Badges: Promoted, Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/fdm-group/p4784,https://www.reed.co.uk/jobs/senior-devops-engineer-london/57129031?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Senior DevOps Engineer,Chambers and Partners,London,2026-09-11,https://www.reed.co.uk/jobs/senior-devops-engineer/57111329?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/chambers-and-partners/p83320,Actively Hiring,"Salary: Competitive salary | Type: Permanent, full-time | Badges: Promoted",Reed.co.uk,https://www.reed.co.uk/jobs/chambers-and-partners/p83320,https://www.reed.co.uk/jobs/senior-devops-engineer/57111329?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Trainee DevOps Engineer | No experience needed (Ref: 7501),Qualify Nation Recruitment,London,2026-09-12,https://www.reed.co.uk/jobs/trainee-devops-engineer--no-experience-needed-ref-7501/57266480?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/group-everest-ltd-t-a-qualify-nation-111378/p111378,Actively Hiring,"Salary: Training Course | Type: Permanent, full-time, Work from home | Badges: Featured, New, EarlyBirdEarly bird",Reed.co.uk,https://www.reed.co.uk/jobs/group-everest-ltd-t-a-qualify-nation-111378/p111378,https://www.reed.co.uk/jobs/trainee-devops-engineer--no-experience-needed-ref-7501/57266480?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
DevOps Engineer,Noir,London,2026-08-10,https://www.reed.co.uk/jobs/devops-engineer/57214334?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/noir/p10319,Actively Hiring,"Salary: £60,000 - £75,000 per annum | Type: Permanent, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/noir/p10319,https://www.reed.co.uk/jobs/devops-engineer/57214334?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
DevOps Engineer,Pulse IT Recruitment Ltd,London,2026-07-21,https://www.reed.co.uk/jobs/devops-engineer/57142852?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/pulse-it-recruitment-ltd/p22003,Actively Hiring,"Salary: £38,000 - £55,000 per annum | Type: Permanent, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/pulse-it-recruitment-ltd/p22003,https://www.reed.co.uk/jobs/devops-engineer/57142852?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
DevOps / Platform Engineer,Hays Specialist Recruitment Limited,London,2026-08-10,https://www.reed.co.uk/jobs/devops-platform-engineer/57217510?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,Actively Hiring,"Salary: £550 per day | Type: Contract, full-time, Work from home",Reed.co.uk,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,https://www.reed.co.uk/jobs/devops-platform-engineer/57217510?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Lead DevOps Engineer,Bristow Holland,London,2026-06-06,https://www.reed.co.uk/jobs/lead-devops-engineer/56993065?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/bristow-holland/p18659,Actively Hiring,"Salary: £90,000 - £100,000 per annum | Type: Permanent, full-time, Work from home | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/bristow-holland/p18659,https://www.reed.co.uk/jobs/lead-devops-engineer/56993065?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
GCP DevOps Engineer,Harnham - Data & Analytics Recruitment,London,2026-08-13,https://www.reed.co.uk/jobs/gcp-devops-engineer/57235883?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/harnham-search-selection/p9243,Actively Hiring,"Salary: £550 - £650 per day | Type: Contract, full-time, Work from home | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/harnham-search-selection/p9243,https://www.reed.co.uk/jobs/gcp-devops-engineer/57235883?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
DevOps Engineer GCP,MLC Partners,London,2026-08-14,https://www.reed.co.uk/jobs/devops-engineer-gcp/57237954?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/mlc-partners-limited/p27788,Actively Hiring,"Salary: £500 per day | Type: Temporary, full-time, Work from home | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/mlc-partners-limited/p27788,https://www.reed.co.uk/jobs/devops-engineer-gcp/57237954?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
DevOps Engineer (AWS),Morgan McKinley,London,2026-07-13,https://www.reed.co.uk/jobs/devops-engineer-aws/57119239?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/morgan-mckinley/p2210,Actively Hiring,"Salary: Competitive salary | Type: Permanent, full-time",Reed.co.uk,https://www.reed.co.uk/jobs/morgan-mckinley/p2210,https://www.reed.co.uk/jobs/devops-engineer-aws/57119239?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
SC Cleared DevOps Engineer,VIQU IT Recruitment,London,2026-09-08,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer/57252194?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/viqu-limited-86416/p86416,Actively Hiring,"Salary: £650 - £800 per day | Type: Contract, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/viqu-limited-86416/p86416,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer/57252194?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Senior Azure DevOps Engineer,Revybe IT Recruitment Ltd,London,2026-07-18,https://www.reed.co.uk/jobs/senior-azure-devops-engineer/57137038?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/revybe-it-recruitment-ltd-112429/p112429,Actively Hiring,"Salary: £80,000 - £100,000 per annum | Type: Permanent, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/revybe-it-recruitment-ltd-112429/p112429,https://www.reed.co.uk/jobs/senior-azure-devops-engineer/57137038?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Senior Azure DevOps Engineer,Sanderson,London,2026-07-29,https://www.reed.co.uk/jobs/senior-azure-devops-engineer/57171524?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/sanderson-35038/p35038,Actively Hiring,"Salary: £550 - £600 per day | Type: Contract, full-time, Work from home | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/sanderson-35038/p35038,https://www.reed.co.uk/jobs/senior-azure-devops-engineer/57171524?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Senior DevOps Engineer,Parkside Office Professional,"Watford, Hertfordshire",2026-07-27,https://www.reed.co.uk/jobs/senior-devops-engineer/57163113?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/parkside-office-professional/p2314,Actively Hiring,"Salary: £50,000 - £51,000 per annum | Type: Permanent, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/parkside-office-professional/p2314,https://www.reed.co.uk/jobs/senior-devops-engineer/57163113?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Lead AI DevOps Engineer,Lorien,London,2026-08-03,https://www.reed.co.uk/jobs/lead-ai-devops-engineer/57191472?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/lorien-resourcing-limited/p22735,Actively Hiring,"Salary: Salary negotiable | Type: Contract, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/lorien-resourcing-limited/p22735,https://www.reed.co.uk/jobs/lead-ai-devops-engineer/57191472?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
"DevOps Engineer - Active SC, NPPV3",Hays Specialist Recruitment Limited,London,2026-07-30,https://www.reed.co.uk/jobs/devops-engineer-active-sc-nppv3/57179114?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,Actively Hiring,"Salary: £400 - £420 per day | Type: Contract, full-time, Work from home | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,https://www.reed.co.uk/jobs/devops-engineer-active-sc-nppv3/57179114?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
SC Cleared DevOps Engineer (On-prem),VIQU IT Recruitment,London,2026-08-10,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer-on-prem/57215923?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/viqu-limited-86416/p86416,Actively Hiring,"Salary: £600 - £800 per day | Type: Contract, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/viqu-limited-86416/p86416,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer-on-prem/57215923?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
SC Cleared DevOps Engineer (EKS AWS),Hays Specialist Recruitment Limited,London,2026-09-09,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer-eks-aws/57252376?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,Actively Hiring,"Salary: £420 per day | Type: Contract, full-time, Work from home",Reed.co.uk,https://www.reed.co.uk/jobs/hays-specialist-recruitment-limited/p36210,https://www.reed.co.uk/jobs/sc-cleared-devops-engineer-eks-aws/57252376?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
Senior Release Manager (Agile / DevOps / Financial Services),Salt Search,London,2026-08-04,https://www.reed.co.uk/jobs/senior-release-manager-agile-devops-financial-services/57195966?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops,https://www.reed.co.uk/jobs/salt-search-70274/p70274,Actively Hiring,"Salary: Salary negotiable | Type: Contract, full-time | Badges: Easy Apply",Reed.co.uk,https://www.reed.co.uk/jobs/salt-search-70274/p70274,https://www.reed.co.uk/jobs/senior-release-manager-agile-devops-financial-services/57195966?source=searchResults&q=devops&filter=%2Fjobs%2Fdevops-jobs-in-london%3Fq%3Ddevops
