Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Lead MLOps DevOps Engineer | Bangalore | 8-15 Years | Immediate/Serving,Sonata Software,"Bengaluru, India",2026-09-17,https://www.foundit.in/job/lead-mlops-devops-engineer-bangalore-8-15-years-immediate-serving-sonata-software-bengaluru-bangalore-67418458,https://www.sonata-software.com,16 Applicants,Experience: {'years': 0}-{'years': 0} Years | Industry: Other,Foundit
DevOps Engineer,Mphasis,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4462906493/,https://www.mphasis.com,7 Applicants,"Experience: 10-12 Years | Key Skills: Regulated environments, ArgoCD, GIT lab, CI CD, K8,Java, Devops, .NET, Windows, Helm, Release Engineering | Industry: Other | Function: Devops",Foundit
Azure DevOps Engineer,Tata Consultancy Services,"Bengaluru, India",2026-09-17,https://www.foundit.in/job/azure-devops-engineer-tata-consultancy-services-bengaluru-bangalore-67440675,https://www.tcs.com,20 Applicants,"Experience: 5-10 Years | Key Skills: Azure cloud concepts, container registry tools, antifactory management, container orchestration services, IaC, Microservices architecture, security scan automations, containerization , API consumptions, Azure ADF, module development , public cloud environments, cloud security measures, automation modules, source code management, Terraform scripting,Github, Batch Scripting, Application Architecture, Maven, Terraform, Azure DevOps, Agile Methodologies, PowerShell, Scrum, Jfrog, Devops, DevSecOps, Kubernetes | Industry: Other | Function: Cloud Computing",Foundit
DevOps Engineer,Itc Infotech India,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4465526136/,https://www.itcinfotech.com,13 Applicants,"Experience: 6-8 Years | Key Skills: rollback planning, release and cutover experience, auto-remediation, Blue-green or staged-cutover experience, environment-management, L15 tooling exposure, IaC, Observability,Cicd, Azure | Industry: Other | Function: Devops",Foundit
DevOps Engineer,Accenture,"Bengaluru, India",2026-09-17,https://www.monsterindia.com/event/triumph/,https://www.accenture.com,13 Applicants,"Experience: 5-7 Years | Key Skills: Container orchestration technologies, Databricks Unified Data Analytics Platform, Cloud platforms and services, and troubleshooting distributed systems, Monitoring,Logging | Industry: Other | Function: DevOps",Foundit
DevOps Engineer - Airgapped Systems,blurgs ai,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4464204102/,https://www.blurgsai.com,4 Applicants,"Experience: 6-8 Years | Key Skills: Linux systems, Harbour,Jenkins, Terraform, Ansible, Gitlab, Nexus, Artifactory, Kubernetes | Industry: Other | Function: Engineering - Platform",Foundit
Senior Embedded DevOps Engineer,Schaeffler,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4458769064/,https://www.schaeffler.com,12 Applicants,"Experience: 4-6 Years | Key Skills: software sharing models, software build related tools, test and simulation frameworks, End of Line Manufacturing processes, software development workflows, security requirements,RedHat, Devops, Posix, Qnx | Industry: Other | Function: Automotive Software Technology",Foundit
Senior DevOps Engineer,JLL,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4466074551/,https://www.jll.com,17 Applicants,"Experience: 5-8 Years | Key Skills: GitOps, OpenTelemetry, Go,Terraform, Datadog, Python, Kubernetes | Industry: Real Estate | Function: Devops/Site Reliability Engineering",Foundit
DevOps Engineer,Arrive,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4464982891/,https://www.arrive.com,43 Applicants,"Experience: {'years': 0}-{'years': 0} Years | Key Skills: GitOps, Umbrella Charts, Sealed Secrets, Container orchestration, Go, GitHub Actions, Helm Charts, ArgoCD,Github, Configuration management, Bash, Python, Kubernetes | Industry: Other | Function: DevOps / Engineering / Urban Mobility Technology",Foundit
Azure DevOps Engineer Cloud Migration,innova esi,"Bengaluru, India",2026-09-17,https://www.foundit.in/job/azure-devops-engineer-cloud-migration-innova-esi-bengaluru-bangalore-67448986,https://www.innovaesi.com,7 Applicants,"Experience: 7-9 Years | Key Skills: Infrastructure as Code, CI CD pipelines, scripting automation,Terraform, Azure Databricks, Azure cloud services, AWS, Azure DevOps | Industry: Other | Function: Cloud Computing",Foundit
Devops Engineer,euphoric thought technologies pvt. ltd.,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4461848259/,https://www.euphoricthought.com,6 Applicants,"Experience: 6-8 Years | Key Skills: Jenkins, Docker, Terraform, Ansible, Kubernetes, Python, AWS | Industry: Other | Function: Devops",Foundit
DevOps Engineer,Kyndryl,"Bengaluru, India",2026-09-17,https://kyndryl.wd5.myworkdayjobs.com/en-US/KyndrylProfessionalCareers/job/INMANBP-Bangalore-INMANBP-Manyatha/DevOps-Engineer_R-68486,https://www.kyndryl.com,21 Applicants,Experience: {'years': 0}-{'years': 0} Years | Industry: IT/Computers - Software,Foundit
Senior DevOps Engineer,DHL BHARAT,"Bengaluru, India",2026-09-17,https://www.linkedin.com/jobs/view/4465075311/,https://www.dhlbharat.com,6 Applicants,"Experience: {'years': 0}-{'years': 0} Years | Key Skills: Service Portal, Employee Center, Flow Designer, UI Builder, Workspaces, IntegrationHub, ServiceNow App Engine Studio,Soap Services, Javascript, Rest Apis | Industry: Other | Function: It Services",Foundit
Principal Devops Engineer,Securonix,"Bengaluru, India",2026-09-17,https://www.foundit.in/job/principal-devops-engineer-securonix-bengaluru-bangalore-67461934,https://www.securonix.com,2 Applicants,"Experience: 12-14 Years | Key Skills: Octopus Deploy, Helm charts,Prometheus, Elk Stack, Grafana, Jenkins, Gcp, Docker, Ansible, Azure, Kubernetes, Python, AWS | Industry: Other | Function: It",Foundit
