Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
ETL Test Engineer (Python & Kafka) 5PlusYrs Blore Pune,WHITE HORSE MANPOWER CONSULTANCY (P) LTD,"Bangalore, Pune",2026-08-04T07:52:41,https://www.shine.com/jobs/etl-test-engineer-python-kafka-5plusyrs-blore-pune/white-horse-manpower-consultancy-p-ltd/19381328,N/A,0,"Company: WHITE HORSE MANPOWER CONSULTANCY (P) LTD | Salary: Not disclosed | Exp: 5 to 10 Yrs | <p class=""PDq2pG_selectionAnchorContainer"" data-start=""2416"" data-end=""2492""><strong data-start=""2416"" data-end=""2492"">Hiring: ETL Test Engineer | Python | Kafka | 5+ Years | Bangalore | Pune</strong><span></span></p>
<p data-start=""2494"" data-end=""2640""><strong data-start=""2497"" data-end=""2510"">Locatio...",Shine
Python Developer React Hadoop PySpark 6plusYrs Blore Chennai Pune,WHITE HORSE MANPOWER CONSULTANCY (P) LTD,"Bangalore, Chennai, Pune",2026-08-04T07:52:25,https://www.shine.com/jobs/python-developer-react-hadoop-pyspark-6plusyrs-blore-chennai-pune/white-horse-manpower-consultancy-p-ltd/19381323,N/A,0,"Company: WHITE HORSE MANPOWER CONSULTANCY (P) LTD | Salary: Not disclosed | Exp: 6 to 10 Yrs | <p class=""PDq2pG_selectionAnchorContainer"" data-start=""2430"" data-end=""2525""><strong data-start=""2430"" data-end=""2525"">Hiring: Python Developer | React | Hadoop | PySpark | 6+ Years | Bangalore | Chennai | Pune</strong><span></span></p>
<p data-start=""2527"" data-end=""2683""><strong data-start=""2530"" data...",Shine
Python AI Technical Lead,Anlage Infotech,Bangalore,2026-09-04T22:39:43,https://www.shine.com/jobs/python-ai-technical-lead/anlage-infotech/19526243,N/A,0,"Company: Anlage Infotech | Salary: Not disclosed | Exp: 7 to 12 Yrs | Role Overview :

As a Python AI Technical Lead, you will spearhead the architecture and development of cutting-edge AI solutions that redefine how our business leverages data. You will operate at the intersection of engineering and innovation, guiding high-performing squads to build scalable machine learning models and sophistic...",Shine
Python Automation Engineer  Hyper Automation,The Glove,Bangalore,2026-08-09T10:15:33,https://www.shine.com/jobs/python-automation-engineer-hyper-automation/the-glove/19423162,N/A,0,"Company: The Glove | Salary: Not disclosed | Exp: 5 to 9 Yrs | Python Automation Engineer  Hyper Automation

Location: Bangalore  Whitefield

Experience: 57Years

Employment Type: Full-time

Work Mode: Hybrid 




About the Role

We are looking for an experienced Python Automation Engineer with strong hands-on expertise in Python Automation, Selenium, Web Scraping, Pandas, and Automation Anywhere ...",Shine
Data Engineer (Python + GenAI) (Bengaluru),Awign Expert,Bangalore,2026-08-21T00:19:05,https://www.shine.com/jobs/data-engineer-python-genai-bengaluru/awign-expert/19486696,N/A,0,"Company: Awign Expert | Salary: Not disclosed | Exp: 8 to 12 Yrs | Data Engineer (Python + GenAI)

Location: Bangalore / Chennai / Hyderabad / Pune

Experience: 8+ Years

Primary Skills: Python, Data Engineering, Azure, GenAI/Agentic Systems

About the Role

We are looking for an experienced Data Engineer with robust expertise in Python and hands-on exposure to GenAI/agentic workflows. The ideal c...",Shine
Python Generative AI Specialist,Technology Next,Bangalore,2026-08-13T08:01:07,https://www.shine.com/jobs/python-generative-ai-specialist/technology-next/19450849,N/A,0,"Company: Technology Next | Salary: Not disclosed | Exp: 11 to 15 Yrs | Role: Python Generative AI Specialist  RAG
Experience : 1115 Years
Employment Type : Contract-to-Hire (C2H)
Location: Yelahanka, Bangalore
Work Mode : Hybrid/Onsite  4 Days Office
Timing : Day Shift (IST)


Job Summary-


We are looking for a ""Python Generative AI Specialist"" with strong hands-on experience in Python, Generativ...",Shine
"Senior Data Engineer (AWS, SQL, Python)",Notified,Bangalore,2026-08-13T10:08:57,https://www.shine.com/jobs/senior-data-engineer-aws-sql-python/notified/19456315,N/A,0,"Company: Notified | Salary: Not disclosed | Exp: 5 to 9 Yrs | We are seeking an experienced Senior Data Engineer with a strong background in business intelligence, data engineering, and a passion for turning complex data into valuable insights that drive business decisions. If you are interested in applying AI and have experience in mentoring junior members and collaborating with peers, we invite ...",Shine
Generative AI / Python Specialist - 10+ Years,IAT Networks,Bangalore,2026-08-11T15:42:25,https://www.shine.com/jobs/generative-ai-python-specialist-years/iat-networks/19443811,N/A,0,"Company: IAT Networks | Salary: Not disclosed | Exp: 10 to 14 Yrs | Job Title: Generative AI / Python Specialist

Location: Yelahanka, Bangalore
Work Mode: Hybrid/Onsite  4 days per week from office
Experience: 10+ Years
Employment Type: Contract-to-Hire (12 Months)
Budget: Up to 2.70 LPM

Job Summary:

We are hiring a senior Generative AI/Python Specialist to design and deploy production-grade AI...",Shine
Sonata Software - Python AI Engineer - LLM & Conversational AI,SONATA SOFTWARE LTD,Bangalore,2026-09-04T22:39:16,https://www.shine.com/jobs/sonata-software-python-ai-engineer-llm-conversational-ai/sonata-software-ltd/19526217,N/A,0,"Company: SONATA SOFTWARE LTD | Salary: Not disclosed | Exp: 0 to 4 Yrs | We are seeking a highly motivated Python AI Engineer with strong expertise in Generative AI, Azure AI Services, and modern Python application development. 




The ideal candidate will have hands-on experience in building AI-powered applications using Python, FastAPI, Azure OpenAI, Microsoft Agent Framework, Azure Functions, ...",Shine
Senior Data Engineer with Python (IR-491),Intellectsoft,Bangalore,2026-08-27T05:37:27,https://www.shine.com/jobs/senior-data-engineer-with-python-ir/intellectsoft/19502126,N/A,0,"Company: Intellectsoft | Salary: Not disclosed | Exp: 5 to 9 Yrs | Intellectsoft is a software development company delivering innovative solutions since 2007. We operate across North America, Latin America, the Nordic region, the UK, and Europe. We specialize in industries like Fintech, Healthcare, EdTech, Construction, Hospitality, and more, partnering with startups, mid-sized businesses, and For...",Shine
