Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source,Website
Software Engineer,Investa,"London Area, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4458788406,https://uk.linkedin.com/company/investauk,,,LinkedIn,https://www.investa-london.co.uk
Software Engineer (Mid-level),Freetrade,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4397533550,https://uk.linkedin.com/company/freetrade,,,LinkedIn,https://freetrade.io
Software Engineer,Letly,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4460800539,https://uk.linkedin.com/company/letly-ai,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
Backend Software Engineer (Mid-level),Freetrade,"London, England, United Kingdom",3 hours ago,https://www.linkedin.com/jobs/view/4397528820,https://uk.linkedin.com/company/freetrade,,,LinkedIn,https://freetrade.io
Software Engineer,Corevia Search,"London Area, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4458736400,https://www.linkedin.com/company/corevia-search,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
Backend Engineer,nPlan,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4433010810,https://uk.linkedin.com/company/nplan,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
Software Engineer,BAE Systems,"London, England, United Kingdom",2 days ago,https://www.linkedin.com/jobs/view/4423550060,https://uk.linkedin.com/company/bae-systems,,,LinkedIn,https://www.baesystems.com
Engineer,Xero,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4424422265,https://nz.linkedin.com/company/xero,,,LinkedIn,https://www.xero.com
Software Engineer,BigHand,"London, England, United Kingdom",5 days ago,https://www.linkedin.com/jobs/view/4456939913,https://uk.linkedin.com/company/bighand,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
"Software Engineer, Web Platform",Unity,"Brighton, England, United Kingdom",6 days ago,https://www.linkedin.com/jobs/view/4457149307,https://www.linkedin.com/company/unity,,,LinkedIn,https://www.mmoser.com
Software Engineer,Longshot Systems,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4460897851,https://uk.linkedin.com/company/longshot-systems-ltd,,,LinkedIn,https://find-and-update.company-information.service.gov.uk
Software Engineer - Paris/London,Spendesk,"London, England, United Kingdom",1 day ago,https://www.linkedin.com/jobs/view/4460832680,https://fr.linkedin.com/company/spendesk,,,LinkedIn,https://career.spendesk.com
