Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Job Description,Source,website,apply_link_url
B2B Lead Generation Executive,sembark Travel software,"Jaipur, Rajasthan, India / Rajasthan, India / Jaipur, Rajasthan, India",2026-09-10,https://wellfound.com/jobs/4697821-b2b-lead-generation-executive,https://sembark.com/,Actively Hiring,"Salary: INR 25000.0 - 40000.0 | Role: B2B Lead Generation Executive | Company: sembark Travel software | Location: Jaipur, Rajasthan, India / Rajasthan, India / Jaipur, Rajasthan, India",Wellfound,https://sembark.com/,https://wellfound.com/jobs/4697821-b2b-lead-generation-executive
Sales Development Specialist,Briidge.one,"Atlanta, Georgia, United States / Austin, Texas, United States / Boston, Massachusetts, United States / California, United States / Chicago, Illinois, United States / Dallas, Texas, United States / Denver, Colorado, United States / Los Angeles, California, United States / Miami, Florida, United States / Missouri, United States / New York, New York, United States / Ohio, United States / Pennsylvania, United States / Philadelphia, Pennsylvania, United States / Phoenix, Arizona, United States / San Diego, California, United States / Seattle, Washington, United States / Texas, United States / Virginia, United States / Washington, District of Columbia, United States / San Francisco, California, United States / San Jose, California, United States / England, United Kingdom / Berkeley, California, United States / Florida, United States / Toronto, Ontario, Canada / Las Vegas, Nevada, United States / Amsterdam, North Holland, Netherlands / Montreal, Québec, Canada / Manchester, England, United Kingdom / New Jersey, United States / Ontario, Canada / Melbourne, Victoria, Australia / Washington, United States / Colorado, United States / Kentucky, United States / San Mateo, California, United States / Georgia, United States / Calgary, Alberta, Canada / Alberta, Canada / Stockholm, Stockholm County, Sweden / Nevada, United States / Los Altos, California, United States / Montana, United States / Alaska, United States / Rio de Janeiro, State of Rio de Janeiro, Brazil / Hawaii, United States / New York, United States / Perth, Western Australia, Australia / Sydney, New South Wales, Australia / Naples, Florida, United States / Lombardy, Italy / Edinburgh, Scotland, United Kingdom / Livermore, California, United States / Virginia Beach, Virginia, United States / Brisbane, Queensland, Australia / Birmingham, England, United Kingdom / Stuttgart, Baden-Württemberg, Germany / Los Gatos, California, United States / State of São Paulo, Brazil / Eindhoven, North Brabant, Netherlands / Glasgow, Scotland, United Kingdom / Rotterdam, South Holland, Netherlands / Adelaide, South Australia, Australia / Liverpool, England, United Kingdom / Dundee, Scotland, United Kingdom / Canberra, Australian Capital Territory, Australia / California City, California, United States / California, United States / New South Wales, Australia / England, United Kingdom / State of Santa Catarina, Brazil / California, United States / Las Vegas, Nevada, United States / Washington, Texas, United States",2026-08-31,https://wellfound.com/jobs/4656830-lead-generation-executive-clone,https://www.briidge.one,Actively Hiring,"Salary: USD 30000.0 - 50000.0 | Role: Sales Development Specialist | Company: Briidge.one | Location: Atlanta, Georgia, United States / Austin, Texas, United States / Boston, Massachusetts, United States / California, United States / Chicago, Illinois, United States / Dallas, Texas, United States / Denver, Colorado, United States / Los Angeles, Cal",Wellfound,https://www.briidge.one,https://wellfound.com/jobs/4656830-lead-generation-executive-clone
Business Development Manager (B2B Field Sales),AdvanzIT Technologies,"Karnataka, India",2026-09-07,https://wellfound.com/jobs/4688435-business-development-manager-b2b-field-sales,https://advanzit.ai/,Actively Hiring,"Salary: INR 20000.0 - 90000.0 | Role: Business Development Manager (B2B Field Sales) | Company: AdvanzIT Technologies | Location: Karnataka, India",Wellfound,https://advanzit.ai/,https://wellfound.com/jobs/4688435-business-development-manager-b2b-field-sales
Sales Development Representative (SDR),HolmesOps.AI,"Bengaluru, Karnataka, India / Delhi, India / Hyderabad, Telangana, India / Mumbai, Maharashtra, India / New Delhi, Delhi, India",2026-09-02,https://wellfound.com/jobs/4664484-sales-development-representative-sdr,https://holmesops.ai,Actively Hiring,"Salary: INR 800000.0 - 1500000.0 | Role: Sales Development Representative (SDR) | Company: HolmesOps.AI | Location: Bengaluru, Karnataka, India / Delhi, India / Hyderabad, Telangana, India / Mumbai, Maharashtra, India / New Delhi, Delhi, India",Wellfound,https://holmesops.ai,https://wellfound.com/jobs/4664484-sales-development-representative-sdr
Sales Development Representative (SDR) | Founding Team,Blinkins Media,"Mumbai, Maharashtra, India",2026-08-19,https://wellfound.com/jobs/4607023-sales-development-representative-sdr-founding-team,https://blinkins.media,Actively Hiring,"Salary: INR 300000.0 - 400000.0 | Role: Sales Development Representative (SDR) | Founding Team | Company: Blinkins Media | Location: Mumbai, Maharashtra, India",Wellfound,https://blinkins.media,https://wellfound.com/jobs/4607023-sales-development-representative-sdr-founding-team
Business Development Executive (Brand Partnerships),Midnight Media,"Delhi, India / Mumbai, Maharashtra, India / Maharashtra, India / Thane, Maharashtra, India / Navi Mumbai, Maharashtra, India / Karnataka, India",2026-08-06,https://wellfound.com/jobs/4557441-business-development-executive-brand-partnerships,https://midnightmedia.in,Actively Hiring,"Salary: INR 5000.0 - 15000.0 | Role: Business Development Executive (Brand Partnerships) | Company: Midnight Media | Location: Delhi, India / Mumbai, Maharashtra, India / Maharashtra, India / Thane, Maharashtra, India / Navi Mumbai, Maharashtra, India / Karnataka, India",Wellfound,https://midnightmedia.in,https://wellfound.com/jobs/4557441-business-development-executive-brand-partnerships
Business Development Associate,YipitData,Remote / Various,2026-08-21,https://wellfound.com/jobs/4616133-business-development-associate,https://yipitdata.com/,Actively Hiring,Salary: USD 70000.0 - 70000.0 | Role: Business Development Associate | Company: YipitData | Location: Remote / Various,Wellfound,https://yipitdata.com/,https://wellfound.com/jobs/4616133-business-development-associate
Lead Generation- Meta Ads Specialist,Mayura Consultancy Services,"Karnataka, India",2026-06-26,https://wellfound.com/jobs/4395751-lead-generation-ppc-specialist,http://mayuraconsultancy.com,Actively Hiring,"Salary: INR 400000.0 - 600000.0 | Role: Lead Generation- Meta Ads Specialist | Company: Mayura Consultancy Services | Location: Karnataka, India",Wellfound,http://mayuraconsultancy.com,https://wellfound.com/jobs/4395751-lead-generation-ppc-specialist
Business Development Representative,Recruiterflow,"Bengaluru, Karnataka, India",2026-09-02,https://wellfound.com/jobs/4664433-business-development-representative,https://recruiterflow.com/,Actively Hiring,"Role: Business Development Representative | Company: Recruiterflow | Location: Bengaluru, Karnataka, India",Wellfound,https://recruiterflow.com/,https://wellfound.com/jobs/4664433-business-development-representative
BUSINESS DEVELOPMENT & MARKET EXPANSION LEAD,Friss India,"California, United States / Dubai, United Arab Emirates / New York, New York, United States / California, United States / Washington, District of Columbia, United States / Alberta, Canada / Hyderabad, Telangana, India / United Arab Emirates",2026-09-14,https://wellfound.com/jobs/4716575-business-development-market-expansion-lead,https://www.frissindia.in,Actively Hiring,"Salary: USD 30000.0 - 60000.0 | Role: BUSINESS DEVELOPMENT & MARKET EXPANSION LEAD | Company: Friss India | Location: California, United States / Dubai, United Arab Emirates / New York, New York, United States / California, United States / Washington, District of Columbia, United States / Alberta, Canada / Hyderabad, Telangana, India / United Arab",Wellfound,https://www.frissindia.in,https://wellfound.com/jobs/4716575-business-development-market-expansion-lead
