Job Role,Company Name,Location,Date Posted,Apply Link,Company Link,No. of Applicants,Company / Job Details,Source
Data Analyst,Hulcan,"London, England, United Kingdom",2026-08-17,https://jobs.workable.com/view/jqPxh6Dwyjw1MFWrpew13W/hybrid-data-analyst-in-london-at-hulcan,https://jobs.workable.com/company/mWnbxXrqi3Z3ygUjErHAvu/jobs-at-hulcan,N/A,"Workplace: Hybrid | Type: Full-time | This is a newly created role sitting at the intersection of Commercial Finance, Growth and Technology. The successful candidate will become the go-to person for turning raw data into reporting and trend analysis that drives commercial and growth decision-making across the business, spanning customer",Workable
Data Analyst - 12m Fixed Term Contract,Safran Engineering Services UK Limited,"Banbury, England, United Kingdom",2026-08-21,https://jobs.workable.com/view/9a3qGzxxH6CK2VVSy1ZpHH/data-analyst---12m-fixed-term-contract-in-banbury-at-safran-engineering-services-uk-limited,https://jobs.workable.com/company/bcLUKqCEMzLqxjHA1ZDfXK/jobs-at-safran-engineering-services-uk-limited,N/A,"Workplace: On_site | Type: Contract | We are seeking a motivated Data Analyst to support the development and deployment of digital manufacturing solutions across Safran Engineering Services and customer sites. This role will focus on collecting, centralising and analysing production data from multiple locations, transforming complex dat",Workable
Data Analyst - 12 Month FTC,Charlotte Tilbury,"London, England, United Kingdom",2026-08-12,https://jobs.workable.com/view/52BZHps7mBadUwJUeB7C4H/hybrid-data-analyst---12-month-ftc-in-london-at-charlotte-tilbury,https://jobs.workable.com/company/gXck2H2Xy2DKjB3sCn6ziv/jobs-at-charlotte-tilbury,N/A,"Workplace: Hybrid | Type: Full-time | About Charlotte Tilbury Beauty Founded in 2013 by world‑renowned makeup artist and beauty entrepreneur Charlotte Tilbury CBE, Charlotte Tilbury Beauty has transformed the global beauty industry with one mission to empower everyone, everywhere to look and feel like the most confident version of thems",Workable
Data Analyst,Solirius Reply,"London, England, United Kingdom",2026-07-30,https://jobs.workable.com/view/rme3Fs4LvgDKfeq6pfp9q9/hybrid-data-analyst-in-london-at-solirius-reply,https://jobs.workable.com/company/vt4rN7PZR74pTZk8TFJwTi/jobs-at-solirius-reply,N/A,"Workplace: Hybrid | Type: Full-time | About Us: Solirius Reply , part of the Reply Group , is a technology consultancy and digital transformation partner that helps organisations solve complex challenges through strategy, design, engineering, and delivery. We work closely with our clients to deliver secure, accessible, user-focused serv",Workable
Business Intelligence Analyst,Signal,"London, England, United Kingdom",2026-08-18,https://jobs.workable.com/view/n7RW63RhrMVMhR6QwpJBia/hybrid-business-intelligence-analyst-in-london-at-signal,https://jobs.workable.com/company/wkJSG6cemBsuEMjeNjVw3q/jobs-at-signal,N/A,"Workplace: Hybrid | Type: N/A | About Signal Ocean: Signal Ocean is the technology arm of the Signal Group. Our primary product, The Signal Ocean Platform, helps shipping and commodities professionals navigate their complex decision making. Driven by advanced machine learning and artificial intelligence, our technology suite provi",Workable
Data Analyst - Pricing,Motia,"Burnley, England, United Kingdom",2026-04-23,https://jobs.workable.com/view/uB9xxvE9RzfHDoCVrUuHCd/hybrid-data-analyst---pricing-in-burnley-at-motia,https://jobs.workable.com/company/jh45Fon1Th3iW2jXaXxiTN/jobs-at-motia,N/A,"Workplace: Hybrid | Type: Full-time | About Us At Motia, we’re at the forefront of fleet solutions, providing innovative services that power businesses across the UK. We’re committed to creating an environment where everyone can thrive. Our culture fosters collaboration, innovation, and growth, ensuring you can build a career, not just ",Workable
Senior data analyst - 6 month FTC,Cluttons,"London, England, United Kingdom",2026-07-30,https://jobs.workable.com/view/gBZbhyFvQFeXAZkTCEUb61/hybrid-senior-data-analyst---6-month-ftc-in-london-at-cluttons,https://jobs.workable.com/company/wpB7pTMfp8t8m4aA3dSQM1/jobs-at-cluttons,N/A,"Workplace: Hybrid | Type: N/A | This is a newly created role responsible for designing and delivering Cluttons’ secure, scalable data and reporting environment, enabling consistent, high-quality management information across the business. The successful candidate will lead the development of a centralised reporting capability, cov",Workable
Sustainability Data & Carbon Analyst,Incommunities,"Shipley, England, United Kingdom",2026-08-21,https://jobs.workable.com/view/ruGivFP9L1AozUw9GHqvB7/sustainability-data-%26-carbon-analyst-in-shipley-at-incommunities,https://jobs.workable.com/company/tCV3WJ1mAVVMQvvuziZY46/jobs-at-incommunities,N/A,"Workplace: On_site | Type: Full-time | We are looking for a Sustainability Data & Carbon Analyst to Manage the collection, validation and analysis of environmental and carbon data to provide a reliable evidence base for decision making. Support accurate carbon footprint, ESG and sustainability reporting, including progress against decarb",Workable
Research and Data Analyst (FTC),Freebridge Community Housing,"King's Lynn, England, United Kingdom",2026-08-20,https://jobs.workable.com/view/wNqQHt93YUWP1nDzu2Dgxk/hybrid-research-and-data-analyst-(ftc)-in-king's-lynn-at-freebridge-community-housing,https://jobs.workable.com/company/nzQsc7BgF9HPSfYK7ngj9a/jobs-at-freebridge-community-housing,N/A,Workplace: Hybrid | Type: Contract | We are looking for a Research and Data Analyst (12 month FTC) to join our team! In this role you will view and analyse internal and external data to provide business oversight that supports planning and decision making. You will create reports and dashboards to give the business easy access to key i,Workable
Senior Data Quality & Assurance Analyst,Frontline Group,"Peterborough, England, United Kingdom",2026-08-19,https://jobs.workable.com/view/5VmmXycGiWpU9qyrmocAMP/hybrid-senior-data-quality-%26-assurance-analyst-in-peterborough-at-frontline-group,https://jobs.workable.com/company/eSoRPy5ggtrHYf7izuA2Qd/jobs-at-frontline-group,N/A,"Workplace: Hybrid | Type: Full-time | Are you passionate about investigating data issues and improving data quality to drive better business decisions? At Frontline Group, data is central to how we serve our customers, support our partners, and enable informed business outcomes. We're looking for a Senior Data Quality & Assurance Analys",Workable
